# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
l1tex__t_output_wavefronts_pipe_lsu_mem_lgds                           Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_local                          Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld                    Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st                    Counter         #              
l1tex__t_output_wavefronts_pipe_tex                                    Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_surface                        Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom                Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld                  Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red                 Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st                  Counter         #              
l1tex__t_output_wavefronts_pipe_tex_mem_texture                        Counter         #              
l1tex__t_output_wavefronts_pipe_tex_realtime                           Counter         #              
l1tex__t_output_wavefronts_realtime                                    Counter         #              
l1tex__t_requests                                                      Counter         #              
l1tex__t_requests_pipe_lsu                                             Counter         #              
l1tex__t_requests_pipe_lsu_mem_dshared                                 Counter         #              
l1tex__t_requests_pipe_lsu_mem_dshared_op_atom                         Counter         #              
l1tex__t_requests_pipe_lsu_mem_dshared_op_ld                           Counter         #              
l1tex__t_requests_pipe_lsu_mem_dshared_op_redas                        Counter         #              
l1tex__t_requests_pipe_lsu_mem_dshared_op_st                           Counter         #              
l1tex__t_requests_pipe_lsu_mem_global_op_atom                          Counter         #              
l1tex__t_requests_pipe_lsu_mem_global_op_ld                            Counter         #              
l1tex__t_requests_pipe_lsu_mem_global_op_ldgsts_cache_access           Counter         #              
l1tex__t_requests_pipe_lsu_mem_global_op_red                           Counter         #              
l1tex__t_requests_pipe_lsu_mem_global_op_st                            Counter         #              
l1tex__t_requests_pipe_lsu_mem_lg                                      Counter         #              
l1tex__t_requests_pipe_lsu_mem_lgds                                    Counter         #              
l1tex__t_requests_pipe_lsu_mem_local_op_ld                             Counter         #              
l1tex__t_requests_pipe_lsu_mem_local_op_st                             Counter         #              
l1tex__t_requests_pipe_tex                                             Counter         #              
l1tex__t_requests_pipe_tex_mem_surface                                 Counter         #              
l1tex__t_requests_pipe_tex_mem_surface_op_atom                         Counter         #              
l1tex__t_requests_pipe_tex_mem_surface_op_ld                           Counter         #              
l1tex__t_requests_pipe_tex_mem_surface_op_red                          Counter         #              
l1tex__t_requests_pipe_tex_mem_surface_op_st                           Counter         #              
l1tex__t_requests_pipe_tex_mem_texture                                 Counter         #              
l1tex__t_requests_pipe_tex_mem_texture_op_ld                           Counter         #              
l1tex__t_requests_pipe_tex_mem_texture_op_tex                          Counter         #              
l1tex__t_sector_hit_rate                                               Ratio           #              
l1tex__t_sector_pipe_lsu_hit_rate                                      Ratio           #              
l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate                   Ratio           #              
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate                     Ratio           #              
